iter	Passed	Remaining
0	151	150849
1	155	77420
2	159	53011
3	163	40711
4	167	33354
5	171	28493
6	176	25073
7	180	22434
8	185	20384
9	190	18811
10	194	17490
11	198	16364
12	203	15465
13	207	14636
14	212	13927
15	216	13317
16	220	12769
17	224	12271
18	229	11834
19	233	11432
20	237	11082
21	242	10765
22	246	10465
23	250	10179
24	254	9935
25	259	9720
26	263	9509
27	268	9321
28	272	9128
29	277	8969
30	281	8799
31	286	8651
32	290	8520
33	295	8386
34	299	8264
35	303	8134
36	307	8016
37	313	7928
38	317	7824
39	322	7741
40	327	7662
41	332	7576
42	336	7493
43	341	7415
44	345	7338
45	350	7267
46	354	7194
47	358	7118
48	363	7055
49	367	6989
50	371	6910
51	374	6822
52	377	6738
53	379	6654
54	382	6569
55	384	6482
56	386	6394
57	388	6308
58	390	6226
59	392	6148
60	394	6069
61	395	5991
62	397	5912
63	399	5836
64	400	5763
65	402	5689
66	403	5622
67	404	5543
68	406	5480
69	407	5413
70	408	5348
71	410	5284
72	411	5223
73	412	5164
74	414	5108
75	415	5050
76	416	4994
77	417	4938
78	419	4889
79	420	4840
80	422	4790
81	423	4739
82	424	4691
83	425	4643
84	426	4594
85	428	4554
86	429	4506
87	430	4462
88	431	4420
89	433	4381
90	434	4343
91	436	4305
92	437	4267
93	438	4231
94	440	4194
95	441	4160
96	443	4124
97	444	4091
98	445	4056
99	447	4023
100	448	3992
101	449	3955
102	450	3926
103	452	3895
104	453	3864
105	454	3835
106	456	3806
107	457	3778
108	458	3750
109	460	3724
110	461	3699
111	463	3673
112	464	3647
113	466	3622
114	467	3597
115	468	3570
116	469	3546
117	471	3522
118	472	3498
119	474	3478
120	476	3458
121	477	3437
122	478	3410
123	479	3389
124	481	3369
125	483	3351
126	484	3330
127	485	3307
128	487	3288
129	488	3269
130	490	3252
131	492	3237
132	493	3218
133	495	3201
134	497	3186
135	498	3168
136	500	3150
137	501	3132
138	503	3118
139	504	3101
140	506	3084
141	507	3066
142	508	3050
143	510	3035
144	512	3019
145	513	3003
146	514	2986
147	516	2970
148	517	2956
149	519	2943
150	520	2928
151	522	2912
152	523	2898
153	524	2882
154	526	2868
155	527	2856
156	529	2842
157	530	2827
158	532	2816
159	533	2802
160	535	2789
161	537	2778
162	539	2768
163	541	2758
164	542	2747
165	544	2735
166	545	2723
167	548	2714
168	549	2703
169	551	2694
170	553	2682
171	554	2670
172	556	2658
173	558	2648
174	559	2638
175	561	2626
176	562	2615
177	564	2606
178	566	2596
179	567	2585
180	568	2570
181	569	2559
182	571	2550
183	574	2546
184	575	2536
185	577	2528
186	579	2519
187	581	2513
188	583	2503
189	585	2494
190	587	2488
191	589	2481
192	591	2472
193	593	2463
194	595	2460
195	597	2452
196	600	2447
197	604	2448
198	607	2444
199	613	2452
200	615	2447
201	619	2447
202	622	2442
203	624	2435
204	626	2431
205	629	2425
206	631	2420
207	633	2413
208	635	2405
209	637	2398
210	639	2392
211	641	2385
212	643	2379
213	645	2371
214	648	2367
215	650	2360
216	652	2355
217	654	2348
218	656	2341
219	659	2336
220	661	2330
221	663	2323
222	664	2316
223	667	2310
224	668	2302
225	670	2294
226	671	2287
227	673	2280
228	674	2271
229	676	2264
230	677	2256
231	679	2248
232	680	2241
233	682	2232
234	683	2224
235	685	2217
236	686	2209
237	687	2201
238	689	2194
239	690	2186
240	691	2178
241	693	2170
242	694	2162
243	695	2155
244	696	2147
245	698	2140
246	699	2132
247	700	2125
248	702	2117
249	703	2110
250	704	2103
251	705	2095
252	707	2088
253	708	2081
254	709	2073
255	711	2066
256	712	2059
257	714	2053
258	715	2046
259	716	2039
260	717	2032
261	719	2025
262	720	2018
263	721	2012
264	723	2005
265	724	1999
266	725	1992
267	727	1986
268	728	1979
269	729	1972
270	730	1966
271	732	1959
272	733	1952
273	734	1946
274	735	1939
275	737	1933
276	738	1926
277	739	1920
278	740	1914
279	742	1908
280	743	1901
281	744	1895
282	746	1890
283	747	1884
284	748	1879
285	750	1873
286	751	1867
287	752	1860
288	754	1855
289	755	1849
290	757	1844
291	758	1838
292	759	1832
293	760	1827
294	761	1821
295	763	1815
296	764	1809
297	765	1803
298	766	1797
299	767	1791
300	769	1786
301	770	1780
302	771	1775
303	772	1769
304	774	1763
305	775	1757
306	776	1752
307	777	1747
308	778	1741
309	779	1735
310	780	1730
311	782	1724
312	783	1719
313	784	1714
314	786	1709
315	787	1704
316	788	1699
317	789	1693
318	790	1688
319	792	1683
320	793	1677
321	794	1672
322	795	1667
323	796	1661
324	797	1657
325	799	1652
326	800	1646
327	801	1641
328	802	1637
329	803	1631
330	804	1626
331	806	1621
332	807	1617
333	808	1612
334	809	1607
335	811	1602
336	812	1598
337	813	1593
338	814	1588
339	815	1583
340	817	1579
341	818	1574
342	819	1569
343	820	1564
344	821	1559
345	822	1555
346	824	1550
347	825	1546
348	826	1542
349	827	1537
350	828	1532
351	830	1528
352	831	1523
353	832	1519
354	833	1514
355	834	1509
356	835	1505
357	836	1500
358	838	1496
359	839	1492
360	841	1488
361	842	1485
362	844	1481
363	845	1476
364	846	1472
365	847	1468
366	848	1464
367	850	1460
368	851	1456
369	852	1452
370	854	1448
371	855	1444
372	856	1440
373	857	1436
374	859	1432
375	860	1428
376	861	1424
377	863	1420
378	864	1416
379	865	1412
380	866	1408
381	868	1405
382	869	1401
383	871	1397
384	872	1393
385	873	1390
386	875	1386
387	876	1382
388	878	1379
389	879	1376
390	880	1372
391	882	1368
392	883	1364
393	885	1361
394	886	1357
395	887	1353
396	888	1349
397	890	1346
398	891	1342
399	892	1338
400	894	1335
401	895	1332
402	897	1329
403	898	1325
404	900	1322
405	901	1318
406	902	1315
407	904	1312
408	905	1308
409	907	1305
410	908	1302
411	909	1298
412	911	1295
413	913	1292
414	914	1289
415	916	1285
416	917	1282
417	918	1279
418	920	1276
419	921	1273
420	923	1269
421	924	1266
422	926	1263
423	927	1259
424	928	1256
425	930	1253
426	931	1250
427	933	1247
428	934	1244
429	936	1240
430	937	1237
431	938	1234
432	940	1231
433	941	1228
434	943	1225
435	944	1222
436	946	1218
437	947	1215
438	948	1212
439	950	1209
440	951	1206
441	953	1203
442	954	1200
443	956	1197
444	957	1194
